distance,largest_cc,second_largest_cc,number_of_stores,regions,n_regions,second_region,first_region,ratio
15488.9976,218,36,295,"{'Hovedstaden': 197, 'Sjælland': 21}",2.0,21.0,197.0,0.0963302752293578
15566.660800000001,219,36,297,"{'Hovedstaden': 198, 'Sjælland': 21}",2.0,21.0,198.0,0.0958904109589041
15644.324,220,36,298,"{'Hovedstaden': 199, 'Sjælland': 21}",2.0,21.0,199.0,0.09545454545454546
15721.987200000001,221,36,299,"{'Hovedstaden': 200, 'Sjælland': 21}",2.0,21.0,200.0,0.09502262443438914
15799.6504,221,36,299,"{'Hovedstaden': 200, 'Sjælland': 21}",2.0,21.0,200.0,0.09502262443438914
15877.313600000001,221,36,299,"{'Hovedstaden': 200, 'Sjælland': 21}",2.0,21.0,200.0,0.09502262443438914
15954.9768,221,36,299,"{'Hovedstaden': 200, 'Sjælland': 21}",2.0,21.0,200.0,0.09502262443438914
16032.640000000001,221,36,299,"{'Hovedstaden': 200, 'Sjælland': 21}",2.0,21.0,200.0,0.09502262443438914
16110.3032,222,36,300,"{'Hovedstaden': 201, 'Sjælland': 21}",2.0,21.0,201.0,0.0945945945945946
16187.966400000001,222,36,300,"{'Hovedstaden': 201, 'Sjælland': 21}",2.0,21.0,201.0,0.0945945945945946
16265.6296,222,36,300,"{'Hovedstaden': 201, 'Sjælland': 21}",2.0,21.0,201.0,0.0945945945945946
16343.292800000001,222,36,300,"{'Hovedstaden': 201, 'Sjælland': 21}",2.0,21.0,201.0,0.0945945945945946
16420.956,222,36,300,"{'Hovedstaden': 201, 'Sjælland': 21}",2.0,21.0,201.0,0.0945945945945946
16498.6192,223,37,305,"{'Hovedstaden': 201, 'Sjælland': 22}",2.0,22.0,201.0,0.09865470852017937
16576.2824,224,37,306,"{'Hovedstaden': 202, 'Sjælland': 22}",2.0,22.0,202.0,0.09821428571428571
16653.9456,224,37,306,"{'Hovedstaden': 202, 'Sjælland': 22}",2.0,22.0,202.0,0.09821428571428571
16731.6088,224,37,306,"{'Hovedstaden': 202, 'Sjælland': 22}",2.0,22.0,202.0,0.09821428571428571
16809.272,225,37,307,"{'Hovedstaden': 203, 'Sjælland': 22}",2.0,22.0,203.0,0.09777777777777778
16886.9352,225,38,308,"{'Hovedstaden': 203, 'Sjælland': 22}",2.0,22.0,203.0,0.09777777777777778
16964.5984,227,38,310,"{'Hovedstaden': 203, 'Sjælland': 24}",2.0,24.0,203.0,0.10572687224669604
17042.2616,230,38,313,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17119.9248,230,38,313,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17197.588,230,38,314,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17275.251200000002,230,38,314,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17352.9144,230,39,316,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17430.5776,230,39,316,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17508.2408,230,39,316,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17585.904000000002,230,39,316,"{'Hovedstaden': 205, 'Sjælland': 25}",2.0,25.0,205.0,0.10869565217391304
17663.5672,231,39,317,"{'Hovedstaden': 205, 'Sjælland': 26}",2.0,26.0,205.0,0.11255411255411256
17741.2304,231,39,317,"{'Hovedstaden': 205, 'Sjælland': 26}",2.0,26.0,205.0,0.11255411255411256
17818.8936,231,39,317,"{'Hovedstaden': 205, 'Sjælland': 26}",2.0,26.0,205.0,0.11255411255411256
17896.556800000002,232,39,320,"{'Hovedstaden': 206, 'Sjælland': 26}",2.0,26.0,206.0,0.11206896551724138
17974.22,233,39,322,"{'Hovedstaden': 206, 'Sjælland': 27}",2.0,27.0,206.0,0.11587982832618025
18051.8832,233,39,324,"{'Hovedstaden': 206, 'Sjælland': 27}",2.0,27.0,206.0,0.11587982832618025
18129.5464,234,39,325,"{'Hovedstaden': 207, 'Sjælland': 27}",2.0,27.0,207.0,0.11538461538461539
18207.209600000002,235,40,327,"{'Hovedstaden': 208, 'Sjælland': 27}",2.0,27.0,208.0,0.1148936170212766
18284.8728,235,41,328,"{'Hovedstaden': 208, 'Sjælland': 27}",2.0,27.0,208.0,0.1148936170212766
18362.536,235,41,328,"{'Hovedstaden': 208, 'Sjælland': 27}",2.0,27.0,208.0,0.1148936170212766
18440.1992,235,41,328,"{'Hovedstaden': 208, 'Sjælland': 27}",2.0,27.0,208.0,0.1148936170212766
18517.8624,238,41,331,"{'Hovedstaden': 209, 'Sjælland': 29}",2.0,29.0,209.0,0.12184873949579832
18595.5256,239,41,332,"{'Hovedstaden': 209, 'Sjælland': 30}",2.0,30.0,209.0,0.12552301255230125
18673.1888,239,41,332,"{'Hovedstaden': 209, 'Sjælland': 30}",2.0,30.0,209.0,0.12552301255230125
18750.852000000003,239,43,335,"{'Hovedstaden': 209, 'Sjælland': 30}",2.0,30.0,209.0,0.12552301255230125
18828.5152,240,46,340,"{'Hovedstaden': 210, 'Sjælland': 30}",2.0,30.0,210.0,0.125
18906.1784,240,46,344,"{'Hovedstaden': 210, 'Sjælland': 30}",2.0,30.0,210.0,0.125
18983.8416,241,46,345,"{'Hovedstaden': 210, 'Sjælland': 31}",2.0,31.0,210.0,0.12863070539419086
19061.504800000002,241,46,345,"{'Hovedstaden': 210, 'Sjælland': 31}",2.0,31.0,210.0,0.12863070539419086
19139.168,241,46,345,"{'Hovedstaden': 210, 'Sjælland': 31}",2.0,31.0,210.0,0.12863070539419086
19216.8312,241,46,345,"{'Hovedstaden': 210, 'Sjælland': 31}",2.0,31.0,210.0,0.12863070539419086
19294.4944,242,46,346,"{'Hovedstaden': 210, 'Sjælland': 32}",2.0,32.0,210.0,0.1322314049586777
19372.157600000002,242,46,346,"{'Hovedstaden': 210, 'Sjælland': 32}",2.0,32.0,210.0,0.1322314049586777
19449.8208,242,46,346,"{'Hovedstaden': 210, 'Sjælland': 32}",2.0,32.0,210.0,0.1322314049586777
19527.484,243,46,348,"{'Hovedstaden': 210, 'Sjælland': 33}",2.0,33.0,210.0,0.13580246913580246
19605.1472,244,46,351,"{'Hovedstaden': 211, 'Sjælland': 33}",2.0,33.0,211.0,0.13524590163934427
19682.810400000002,244,46,351,"{'Hovedstaden': 211, 'Sjælland': 33}",2.0,33.0,211.0,0.13524590163934427
19760.4736,244,46,352,"{'Hovedstaden': 211, 'Sjælland': 33}",2.0,33.0,211.0,0.13524590163934427
19838.1368,244,46,352,"{'Hovedstaden': 211, 'Sjælland': 33}",2.0,33.0,211.0,0.13524590163934427
19915.8,245,46,353,"{'Hovedstaden': 212, 'Sjælland': 33}",2.0,33.0,212.0,0.1346938775510204
19993.463200000002,245,46,353,"{'Hovedstaden': 212, 'Sjælland': 33}",2.0,33.0,212.0,0.1346938775510204
20071.1264,246,46,354,"{'Hovedstaden': 212, 'Sjælland': 34}",2.0,34.0,212.0,0.13821138211382114
20148.7896,246,46,354,"{'Hovedstaden': 212, 'Sjælland': 34}",2.0,34.0,212.0,0.13821138211382114
20226.4528,248,46,356,"{'Hovedstaden': 212, 'Sjælland': 36}",2.0,36.0,212.0,0.14516129032258066
20304.116,248,46,356,"{'Hovedstaden': 212, 'Sjælland': 36}",2.0,36.0,212.0,0.14516129032258066
20381.7792,264,46,358,"{'Hovedstaden': 212, 'Sjælland': 52}",2.0,52.0,212.0,0.19696969696969696
20459.4424,266,46,362,"{'Hovedstaden': 213, 'Sjælland': 53}",2.0,53.0,213.0,0.19924812030075187
20537.105600000003,268,46,366,"{'Hovedstaden': 214, 'Sjælland': 54}",2.0,54.0,214.0,0.20149253731343283
20614.7688,268,46,366,"{'Hovedstaden': 214, 'Sjælland': 54}",2.0,54.0,214.0,0.20149253731343283
20692.432,268,46,366,"{'Hovedstaden': 214, 'Sjælland': 54}",2.0,54.0,214.0,0.20149253731343283
20770.0952,269,46,367,"{'Hovedstaden': 214, 'Sjælland': 55}",2.0,55.0,214.0,0.20446096654275092
20847.758400000002,271,46,369,"{'Hovedstaden': 214, 'Sjælland': 57}",2.0,57.0,214.0,0.21033210332103322
20925.4216,271,46,369,"{'Hovedstaden': 214, 'Sjælland': 57}",2.0,57.0,214.0,0.21033210332103322
21003.0848,271,48,371,"{'Hovedstaden': 214, 'Sjælland': 57}",2.0,57.0,214.0,0.21033210332103322
21080.748,272,48,372,"{'Hovedstaden': 214, 'Sjælland': 58}",2.0,58.0,214.0,0.21323529411764705
21158.411200000002,273,48,374,"{'Hovedstaden': 214, 'Sjælland': 59}",2.0,59.0,214.0,0.21611721611721613
21236.0744,273,48,374,"{'Hovedstaden': 214, 'Sjælland': 59}",2.0,59.0,214.0,0.21611721611721613
21313.7376,273,48,374,"{'Hovedstaden': 214, 'Sjælland': 59}",2.0,59.0,214.0,0.21611721611721613
21391.4008,273,48,374,"{'Hovedstaden': 214, 'Sjælland': 59}",2.0,59.0,214.0,0.21611721611721613
21469.064000000002,273,48,374,"{'Hovedstaden': 214, 'Sjælland': 59}",2.0,59.0,214.0,0.21611721611721613
21546.7272,274,48,375,"{'Hovedstaden': 214, 'Sjælland': 60}",2.0,60.0,214.0,0.21897810218978103
