store_name,region,cluster,cluster_bool,urban_rural,entropy
67857bb1-2cc6-406c-9775-3654ecf06d6e,Syddanmark,-1,Isolated Store,Urban,0.81232082295211
0d9a0b11-9c4e-4f86-9d48-ddcecadbac18,Syddanmark,-1,Isolated Store,Urban,0.8261529992614105
af3871bf-c85b-41ff-b5d9-dd6413009a4a,Midtjylland,-1,Isolated Store,Rural,0.8265001611693183
715b8195-1448-4abd-ae46-aea8c72456e9,Nordjylland,0,In-Cluster Store,Rural,0.8176864255421679
97df1790-97f6-4903-9866-6e420fb4942c,Nordjylland,0,In-Cluster Store,Urban,0.8371217063757691
2051b4e8-6c75-47e3-b569-019363bbf623,Syddanmark,1,In-Cluster Store,Urban,0.8172266606351615
0bb89c86-e33d-46d9-9587-85bb914fdcb4,Syddanmark,-1,Isolated Store,Rural,0.8290093904284437
ebaf3094-443b-4626-81ea-178c05b3a840,Midtjylland,-1,Isolated Store,Urban,0.8183509558655848
82a22db4-f968-4925-a0c1-e00d15b4e897,Syddanmark,2,In-Cluster Store,Rural,0.831261839766753
8a19cc0e-bcb3-4994-bbe6-aa2d0dc58906,Syddanmark,-1,Isolated Store,Urban,0.796572128056595
c1eabb50-f642-4c92-8bfd-497c66e03ec8,Midtjylland,-1,Isolated Store,Rural,0.8029556022551088
abfab2ad-2fae-4357-b055-ccdb9da1e8ac,Nordjylland,-1,Isolated Store,Rural,0.8244806004894539
54620e2c-a34c-424e-83ff-36083a012603,Syddanmark,1,In-Cluster Store,Urban,0.8314593467991174
d0f79858-5441-450d-a37e-8c1f74cb375b,Syddanmark,2,In-Cluster Store,Urban,0.8122773229446457
c0988530-cd91-4fc1-99bd-d13f6ee9ee32,Syddanmark,-1,Isolated Store,Rural,0.7991909466794797
338ad4f9-6432-40d9-93eb-e813f7d580e3,Syddanmark,2,In-Cluster Store,Urban,0.8272646619289259
367a22b8-0ff4-4686-99c8-f238e4fb01b2,Nordjylland,0,In-Cluster Store,Urban,0.7895220631558397
c2f7db9e-f3d0-4d35-aa9a-1be4bbccb959,Midtjylland,1,In-Cluster Store,Urban,0.774511157771069
9f5bd205-3118-4d06-800d-cfe65e88dbda,Midtjylland,1,In-Cluster Store,Urban,0.8239859580625322
942ffe1e-49f0-4e77-a28c-6bfa061fb80b,Midtjylland,1,In-Cluster Store,Urban,0.7640088966036331
39c7b39f-1f55-42b4-9084-e9576142c2a3,Nordjylland,-1,Isolated Store,Rural,0.8235488379807265
cc63a1bd-311d-4b80-a048-b2c591a81c20,Syddanmark,1,In-Cluster Store,Urban,0.8166540289425672
393a3e85-dfec-4800-a666-f830532c7b18,Midtjylland,-1,Isolated Store,Rural,0.8161698837012702
b20359e6-194d-4a33-8dcb-05b01afa93c4,Midtjylland,1,In-Cluster Store,Urban,0.795109322861891
43217073-2a0d-4a79-8246-8c31dbb3ed1d,Midtjylland,-1,Isolated Store,Urban,0.8440443722723335
b0b0e446-747a-410a-bc7c-cdae7dd01d2f,Nordjylland,-1,Isolated Store,Urban,0.8103688333838691
be967302-0f59-49f3-94dc-7cdbe60f7cee,Midtjylland,1,In-Cluster Store,Urban,0.8127237548154312
6d7026eb-59f4-4a55-bd85-f38bc3c37183,Nordjylland,-1,Isolated Store,Urban,0.8297982522499207
8ce154b7-1e0b-46b6-8053-e256c7693760,Syddanmark,1,In-Cluster Store,Urban,0.8385112695328368
8b705caa-f879-46b0-b859-485a1611ccab,Midtjylland,1,In-Cluster Store,Urban,0.811910986979051
9d13c9cb-4d85-4fe5-97d5-394896560dfc,Syddanmark,2,In-Cluster Store,Urban,0.8103176573822948
4c9e766e-5a4c-4641-aa07-5d8a89d83db9,Midtjylland,1,In-Cluster Store,Urban,0.8492635517347209
35b67d0f-08e8-434f-86aa-a04ef4917364,Syddanmark,1,In-Cluster Store,Urban,0.7973508040027529
97448272-ace1-47e5-ab9a-08298cedc415,Midtjylland,-1,Isolated Store,Rural,0.8093907346420233
b4a4442c-eeae-48a1-bf34-7a841bb21dd4,Syddanmark,-1,Isolated Store,Rural,0.8285495624399709
4611d9a9-b373-43ec-a818-f95faa937465,Midtjylland,1,In-Cluster Store,Urban,0.8174274103143169
